Time data (V), Frequency (Hz), Spectrum (dBFS)
-0.056298,1936.000,-134.464396
-0.001002,1940.000,-110.878017
-0.056273,1944.000,-112.265940
-0.001126,1948.000,-108.173496
-0.056372,1952.000,-108.384985
-0.001137,1956.000,-123.484773
-0.056579,1960.000,-113.120683
-0.001162,1964.000,-119.520730
-0.056333,1968.000,-120.158900
-0.001066,1972.000,-109.657266
-0.056650,1976.000,-112.188474
-0.001095,1980.000,-109.036558
-0.056467,1984.000,-107.290877
-0.001091,1988.000,-111.252794
-0.056271,1992.000,-121.869758
-0.001055,1996.000,-116.379994
-0.056399,2000.000,-114.262615
-0.000369,2004.000,-113.314405
-0.056382,2008.000,-116.982053
0.000617,2012.000,-106.218912
-0.056390,2016.000,-107.150783
0.001015,2020.000,-123.924766
-0.056517,2024.000,-114.256663
0.001304,2028.000,-117.611564
-0.056347,2032.000,-120.954920
0.001366,2036.000,-115.463816
-0.056278,2040.000,-111.554026
0.001266,2044.000,-118.312069
-0.056454,2048.000,-111.232536
0.001152,2052.000,-111.256731
-0.056584,2056.000,-112.636575
0.000921,2060.000,-110.954220
-0.056680,2064.000,-109.669980
0.000809,2068.000,-111.970410
-0.056861,2072.000,-117.748687
0.000549,2076.000,-116.028979
-0.056622,2080.000,-125.570923
0.000416,2084.000,-113.496712
-0.056497,2088.000,-131.889406
-0.000197,2092.000,-109.265103
-0.056449,2096.000,-111.489351
-0.000708,2100.000,-118.405744
-0.056320,2104.000,-117.020284
-0.000909,2108.000,-109.202456
-0.056212,2112.000,-105.678688
-0.001028,2116.000,-107.055010
-0.056472,2120.000,-122.919157
-0.001102,2124.000,-114.904750
-0.056513,2128.000,-108.051977
-0.001217,2132.000,-106.786067
-0.056567,2136.000,-110.195265
-0.001203,2140.000,-103.446114
-0.056583,2144.000,-115.225346
-0.001183,2148.000,-101.294598
-0.056651,2152.000,-103.879743
-0.001078,2156.000,-115.687761
-0.056374,2160.000,-107.540925
-0.001088,2164.000,-106.822982
-0.056285,2168.000,-115.011732
-0.000751,2172.000,-103.906177
-0.056329,2176.000,-99.475505
0.000279,2180.000,-102.747295
-0.056430,2184.000,-111.185763
0.000931,2188.000,-109.794773
-0.056376,2192.000,-106.571892
0.001275,2196.000,-103.037962
-0.056421,2200.000,-101.024185
0.001341,2204.000,-104.341061
-0.056175,2208.000,-104.976775
0.001280,2212.000,-98.868068
-0.056296,2216.000,-95.568488
0.001134,2220.000,-99.967004
-0.056097,2224.000,-109.359419
0.001047,2228.000,-107.163202
-0.056139,2232.000,-103.899826
0.000954,2236.000,-116.852632
-0.056074,2240.000,-108.319159
0.000755,2244.000,-102.430726
-0.055974,2248.000,-95.690801
0.000578,2252.000,-97.945710
-0.056166,2256.000,-101.684378
0.000134,2260.000,-95.890901
-0.056109,2264.000,-97.977469
-0.000434,2268.000,-106.136560
-0.056047,2272.000,-96.393779
-0.000836,2276.000,-95.926740
-0.056254,2280.000,-97.494011
-0.001049,2284.000,-97.559716
-0.056525,2288.000,-101.257217
-0.001103,2292.000,-101.444115
-0.056399,2296.000,-102.186626
-0.001102,2300.000,-91.578518
-0.056491,2304.000,-84.391567
-0.001048,2308.000,-92.769837
-0.056407,2312.000,-88.836970
-0.001111,2316.000,-93.605497
-0.056402,2320.000,-87.325060
-0.001209,2324.000,-100.575681
-0.056429,2328.000,-75.429397
-0.001206,2332.000,-73.312024
-0.056633,2336.000,-79.501470
-0.001218,2340.000,-85.314074
-0.056511,2344.000,-97.942739
-0.000642,2348.000,-89.491693
-0.056282,2352.000,-104.130498
0.000421,2356.000,-89.407468
-0.056077,2360.000,-88.923163
0.001038,2364.000,-88.759270
